,count,unique,top,freq,mean,std,min,25%,50%,75%,max
state,1000,51,Texas,82,,,,,,,
county_fips,1000.0,,,,29776.997,15305.551067651091,1001.0,17174.5,29188.0,42077.5,56025.0
week,1000,1,2020-03-01 to 2020-03-07,1000,,,,,,,
mask_user_pct,1000.0,,,,0.0067148971469983346,0.02105480508882924,0.0,0.0,0.0,0.00570613796849535,0.25
mask_mandate,1000,1,No,1000,,,,,,,
gop_vote_share_2016,1000.0,,,,57.76275342168695,16.54842015333003,4.25092723418831,46.87923096296142,60.23043821377465,70.28178963555294,88.1581542102099
deaths_per_10k,1000.0,,,,4.4389559220554e-06,0.0001403721114678792,0.0,0.0,0.0,0.0,0.0044389559220554
COVID_news,1000.0,,,,0.9090909090909087,2.221557105636704e-16,0.909090909090909,0.909090909090909,0.909090909090909,0.909090909090909,0.909090909090909
retail_visit_per_hundred,1000.0,,,,3.3130938332612225,1.3459059739094994,0.183075671277461,2.324550468959615,3.133195543348025,4.12506936985241,10.4522542705125
COVID_news_cable,1000.0,,,,0.733788395904437,0.0,0.733788395904437,0.733788395904437,0.733788395904437,0.733788395904437,0.733788395904437
urban_population_percentage,1000.0,,,,69.83181,22.611077591608804,0.0,54.5975,73.14500000000001,88.52250000000001,100.0
image_users,1000.0,,,,221.87,713.4801279594218,1.0,17.0,50.0,151.0,15858.0
mask_users,1000.0,,,,1.31,5.098224386185047,0.0,0.0,0.0,1.0,112.0
population_density,1000.0,,,,677.4635,2984.2510965240267,0.1,74.6,186.8,445.47499999999997,69468.4
week_counter,1000.0,,,,1.0,0.0,1.0,1.0,1.0,1.0,1.0
week_counter_log,1000.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
population,1000.0,,,,278368.398,551331.1948751368,3464.0,55244.75,120951.5,276909.0,10039107.0
